SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
458,616226.008,3097516.903,5.2,0,632.334,Normal
459,616225.534,3097516.022,5.2,0,632.3335,Normal
460,616225.06,3097515.142,5.2,0,632.333,Normal
461,616224.585,3097514.262,5.2,0,632.3325,Normal
462,616224.111,3097513.381,5.2,0,632.332,Normal
463,616223.637,3097512.501,5.2,0,632.3315,Normal
464,616223.163,3097511.62,5.2,0,632.331,Normal
465,616222.688,3097510.74,5.2,0,632.3305,Normal
466,616222.214,3097509.86,5.2,0,632.33,Normal
467,616221.74,3097508.979,5.2,0,632.3295,Normal
468,616221.266,3097508.099,5.2,0,632.329,Normal
469,616220.791,3097507.218,5.2,0,632.3285,Normal
470,616220.317,3097506.338,5.2,0,632.328,Normal
471,616219.843,3097505.457,5.2,0,632.3275,Normal
472,616219.369,3097504.577,5.2,0,632.327,Normal
473,616218.895,3097503.697,5.2,0,632.3265,Normal
474,616218.42,3097502.816,5.2,0,632.326,Normal
475,616217.946,3097501.936,5.2,0,632.3255,Normal
476,616217.472,3097501.055,5.2,0,632.325,Normal
477,616216.998,3097500.175,5.2,0,632.3245,Normal
478,616216.523,3097499.295,5.2,0,632.324,Normal
479,616216.049,3097498.414,5.2,0,632.3235,Normal
480,616215.575,3097497.534,5.2,0,632.323,Normal
481,616215.101,3097496.653,5.2,0,632.3225,Normal
482,616214.626,3097495.773,5.2,0,632.322,Normal
483,616214.152,3097494.893,5.2,0,632.3215,Normal
484,616213.678,3097494.012,5.2,0,632.321,Normal
485,616213.204,3097493.132,5.2,0,632.3205,Normal
486,616212.73,3097492.251,5.2,0,632.32,Normal
487,616212.255,3097491.371,5.2,0,632.3195,Normal
488,616211.781,3097490.491,5.2,0,632.319,Normal
489,616211.307,3097489.61,5.2,0,632.3185,Normal
490,616210.833,3097488.73,5.2,0,632.318,Normal
491,616210.358,3097487.849,5.2,0,632.3175,Normal
492,616209.884,3097486.969,5.2,0,632.317,Normal
493,616209.41,3097486.089,5.2,0,632.3165,Normal
494,616208.936,3097485.208,5.2,0,632.316,Normal
495,616208.461,3097484.328,5.2,0,632.3155,Normal
496,616207.987,3097483.447,5.2,0,632.315,Normal
497,616207.513,3097482.567,5.2,0,632.3145,Normal
498,616207.039,3097481.687,5.2,0,632.314,Normal
499,616206.565,3097480.806,5.2,0,632.3135,Normal
500,616206.09,3097479.926,5.2,0,632.313,Normal
501,616205.616,3097479.045,5.2,0,632.3125,Normal
502,616205.142,3097478.165,5.2,0,632.312,Normal
503,616204.668,3097477.285,5.2,0,632.3115,Normal
504,616204.193,3097476.404,5.2,0,632.311,Normal
505,616203.719,3097475.524,5.2,0,632.3105,Normal
